drugid,Rp,alpha,bayes,ln_alpha,ttest
1,7.122426357237443e-17,0.016703606567895487,1.7857142857142856,-4.092130620726465,9.078412966320787e-06
3,2.2447543739446065e-16,0.058656566194854855,2.5,-2.836055754567713,0.0003476482214670531
5,0.1635220046083982,0.016587359714646942,2.5,-4.099114336652901,0.015809826285695376
6,0.0,0.0183856375566624,1.4705882352941178,-3.996185486741383,0.6537455401134016
9,0.047301686323254016,0.03937413631840773,1.3888888888888888,-3.234646116847508,1.3398961833179122e-05
11,0.0,0.06590847438491106,1.4705882352941178,-2.7194882511295533,0.021295117164359344
17,-3.7343713818585883e-16,0.023540804492012554,1.3513513513513513,-3.7490200022024323,7.230917013113123e-06
29,0.4712541994914588,0.008515925212428508,50.0,-4.765817313996452,2.4749108644734694e-56
30,1.1942685269921575e-16,0.04138345753201882,1.6129032258064517,-3.184874054524123,0.31530527418056464
32,0.05250046438364624,0.03299714124400972,1.7241379310344827,-3.4113343502375653,0.0003174146608091788
